GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,CLASE,RED_PRIMARIA,RED_SECUNDARIA,ANIO,MES,FECHA_CORTE
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,Agua,0,27526,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,Desague,0,25619,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,Agua,0,9501,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,Desague,0,365,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,Agua,0,8823,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,Desague,0,2083,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN BARTOLO,150129,Agua,0,11785,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN BARTOLO,150129,Desague,24323,4221,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,Agua,29538,451176,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,Desague,62521,441157,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SANTA MARIA MAR,150138,Agua,0,0,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SANTA MARIA MAR,150138,Desague,0,0,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,150142,Agua,62058,547625,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,150142,Desague,26431,551233,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Agua,14352,614818,2023,202304,20230505
